log_id,log_time,gateway_id,beacon_id,rssi,battery_level,x_value,y_value,z_value,rawData
1798,"2021-04-01 14:31:03",1,3,-71,100,0.0585938,0,0.957031,0201060303E1FF1216E1FFA10364000F000000F53DC3A83F23AC
1799,"2021-04-01 14:31:04",4,4,-74,100,0.0585938,0.0078125,0.949219,0201060303E1FF1216E1FFA10364000F000200F330C3A83F23AC
1800,"2021-04-01 14:31:20",2,4,-54,100,0.0585938,0.0078125,0.9375,0201060303E1FF1216E1FFA10364000F000200F030C3A83F23AC
1801,"2021-04-01 14:31:21",2,3,-54,100,0.0585938,0,0.96875,0201060303E1FF1216E1FFA10364000F000000F83DC3A83F23AC
1802,"2021-04-01 14:31:26",2,5,-64,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1803,"2021-04-01 14:31:34",4,5,-62,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1804,"2021-04-01 14:31:42",2,5,-66,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1805,"2021-04-01 14:32:18",4,5,-62,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1806,"2021-04-01 14:33:44",2,5,-66,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1807,"2021-04-01 14:33:54",4,5,-62,100,0.0585938,-0.0195312,1,0201060303E1FF1216E1FFA10364000FFFFB010037C3A83F23AC
1808,"2021-04-01 14:34:08",2,5,-67,100,0.0585938,-0.0195312,1,0201060303E1FF1216E1FFA10364000FFFFB010037C3A83F23AC
1809,"2021-04-01 14:34:07",4,1,-70,100,0.0390625,0,0.96875,0201060303E1FF1216E1FFA10364000A000000F83BC3A83F23AC
1810,"2021-04-01 14:34:15",1,1,-54,100,0.046875,0,0.96875,0201060303E1FF1216E1FFA10364000C000000F83BC3A83F23AC
1811,"2021-04-01 14:34:16",4,5,-63,100,0.046875,-0.0273438,1,0201060303E1FF1216E1FFA10364000CFFF9010037C3A83F23AC
1812,"2021-04-01 14:34:24",1,5,-74,100,0.0585938,-0.0195312,1,0201060303E1FF1216E1FFA10364000FFFFB010037C3A83F23AC
1813,"2021-04-01 14:34:28",2,5,-67,100,0.0585938,-0.0273438,1,0201060303E1FF1216E1FFA10364000FFFF9010037C3A83F23AC
1814,"2021-04-01 14:34:38",4,5,-62,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1815,"2021-04-01 14:34:44",2,5,-64,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1816,"2021-04-01 14:34:50",1,3,-71,100,0.0585938,0,0.957031,0201060303E1FF1216E1FFA10364000F000000F53DC3A83F23AC
